"Station","time.code","Deer.det","Coyote.det","start.date","end.date","days.available","days.inactive","days.active","Reservation","X","season","phase"
"BE1011","T23",18,6,2016-12-02,2016-12-17,16,0,16,"Bedford",NA,"autumn","rut"
"BE1011","T24",5,1,2016-12-18,2016-12-31,14,0,14,"Bedford",NA,"winter","rut"
"BE1011","T3",5,3,2017-02-02,2017-02-17,16,0,16,"Bedford",NA,"winter","winter.forage"
"BE1011","T4",20,3,2017-02-18,2017-03-05,16,0,16,"Bedford",NA,"winter","winter.forage"
"BE1011","T5",8,0,2017-03-06,2017-03-21,16,0,16,"Bedford",NA,"winter","winter.forage"
"BE1011","T6",0,0,2017-03-22,2017-04-06,16,16,0,"Bedford",NA,"spring","winter.forage"
"BE1011","T7",0,0,2017-04-07,2017-04-22,16,15,1,"Bedford",NA,"spring","fawning"
"BE1011","T8",1,0,2017-04-23,2017-05-08,16,0,16,"Bedford",NA,"spring","fawning"
"BE1011","T9",2,0,2017-05-09,2017-05-24,16,0,16,"Bedford",NA,"spring","fawning"
"BE1015","T1",2,0,2017-01-01,2017-01-16,16,0,16,"Bedford",NA,"winter","winter.forage"
"BE1015","T10",7,1,2017-05-25,2017-06-09,16,0,16,"Bedford",NA,"spring","fawning"
"BE1015","T11",2,0,2017-06-10,2017-06-25,16,0,16,"Bedford",NA,"spring","fawning"
"BE1015","T12",0,0,2017-06-26,2017-06-30,5,0,5,"Bedford",NA,"summer","fawning"
"BE1015","T13",6,2,2016-07-01,2016-07-10,10,0,10,"Bedford",NA,"summer","summer.forage"
"BE1015","T14",6,0,2016-07-11,2016-07-26,16,0,16,"Bedford",NA,"summer","summer.forage"
"BE1015","T15",7,1,2016-07-27,2016-08-11,16,0,16,"Bedford",NA,"summer","summer.forage"
"BE1015","T16",15,0,2016-08-12,2016-08-27,16,0,16,"Bedford",NA,"summer","summer.forage"
"BE1015","T17",11,0,2016-08-28,2016-09-12,16,0,16,"Bedford",NA,"summer","summer.forage"
"BE1015","T18",2,3,2016-09-13,2016-09-28,16,0,16,"Bedford",NA,"autumn","summer.forage"
"BE1015","T19",1,0,2016-09-29,2016-10-14,16,0,16,"Bedford",NA,"autumn","rut"
"BE1015","T2",4,1,2017-01-17,2017-02-01,16,0,16,"Bedford",NA,"winter","winter.forage"
"BE1015","T20",4,0,2016-10-15,2016-10-30,16,0,16,"Bedford",NA,"autumn","rut"
"BE1015","T21",3,0,2016-10-31,2016-11-15,16,0,16,"Bedford",NA,"autumn","rut"
"BE1015","T22",1,3,2016-11-16,2016-12-01,16,0,16,"Bedford",NA,"autumn","rut"
"BE1015","T23",1,4,2016-12-02,2016-12-17,16,0,16,"Bedford",NA,"autumn","rut"
"BE1015","T24",0,0,2016-12-18,2016-12-31,14,0,14,"Bedford",NA,"winter","rut"
"BE1015","T3",0,0,2017-02-02,2017-02-17,16,0,16,"Bedford",NA,"winter","winter.forage"
"BE1015","T4",1,5,2017-02-18,2017-03-05,16,0,16,"Bedford",NA,"winter","winter.forage"
